system   D            wsystem.c:583  maybe_parent_dir                 [   0.00189] Also searching E:\Desktop\LUA_Test\LUA_SIClone\
display  D   display_settings.c:191  debug_display_settings           [   0.14340] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14341] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14343] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14344] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14346] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14347] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14349] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14350] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14352] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14353] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14355] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14357] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14359] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14360] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14362] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14364] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14365] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14367] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14368] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.14370] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14371] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14373] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.14374] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.14376] Single Buffer requirement not met.
